S,D,SD,rho_avg_biased_mean,rho_avg_biased_std,rho_avg_biased_mcse,rho_irt_biased_mean,rho_irt_biased_std,rho_irt_biased_mcse,delta_rho_mean,rho_avg_mcar_mean,rho_avg_mcar_std,rho_avg_mcar_mcse,top_misrank_rate_biased,top_misrank_rate_mcar,n_seeds,n_irt_converged
0.65,1.5,0.975,0.979,0.015,0.0039,0.9992,0.003,0.0008,0.0202,0.9592,0.0261,0.0067,0.0,0.07,15,15
0.65,2.0,1.3,0.9537,0.0308,0.0079,1.0,0.0,0.0,0.0463,0.9644,0.019,0.0049,0.0,0.0,15,15
0.65,2.5,1.625,0.9273,0.0544,0.014,0.9992,0.003,0.0008,0.0719,0.9594,0.0337,0.0087,0.0,0.0,15,15
0.65,3.0,1.95,0.8651,0.0478,0.0124,0.9992,0.003,0.0008,0.1341,0.9145,0.0569,0.0147,0.13,0.33,15,15
0.65,3.5,2.275,0.8155,0.069,0.0178,0.9976,0.0048,0.0013,0.182,0.8899,0.0646,0.0167,0.33,0.33,15,15
0.65,4.0,2.6,0.7424,0.1199,0.031,0.9992,0.003,0.0008,0.2568,0.9012,0.0481,0.0124,0.4,0.13,15,15
0.65,4.5,2.925,0.6097,0.1442,0.0372,0.9992,0.003,0.0008,0.3895,0.8167,0.0857,0.0221,0.6,0.67,15,15
0.65,5.0,3.25,0.3817,0.1864,0.0481,0.9943,0.0124,0.0032,0.6127,0.7899,0.1188,0.0307,0.67,0.53,15,15
0.7,0.5,0.35,0.9935,0.0098,0.0025,0.9976,0.0048,0.0013,0.004,0.9883,0.0109,0.0028,0.0,0.27,15,15
0.7,1.0,0.7,0.9889,0.0108,0.0028,0.9992,0.003,0.0008,0.0103,0.9871,0.0082,0.0021,0.0,0.07,15,15
0.7,1.5,1.05,0.9717,0.0241,0.0062,0.9968,0.0094,0.0024,0.0251,0.976,0.0138,0.0036,0.0,0.07,15,15
0.7,2.0,1.4,0.9545,0.0262,0.0068,0.9935,0.0124,0.0032,0.039,0.9541,0.0341,0.0088,0.0,0.07,15,15
0.7,2.5,1.75,0.9254,0.0468,0.0121,0.9927,0.0107,0.0028,0.0673,0.9392,0.0577,0.0149,0.07,0.13,15,15
0.7,3.0,2.1,0.8818,0.0536,0.0138,0.9984,0.0041,0.0011,0.1166,0.9111,0.0514,0.0133,0.2,0.2,15,15
0.7,3.5,2.45,0.8147,0.1065,0.0275,0.9968,0.007,0.0018,0.1821,0.8705,0.0664,0.0172,0.33,0.53,15,15
0.7,4.0,2.8,0.6872,0.1139,0.0294,0.9927,0.0124,0.0032,0.3055,0.8559,0.0774,0.02,0.53,0.2,15,15
0.7,4.5,3.15,0.5792,0.1129,0.0291,0.9943,0.006,0.0016,0.4151,0.77,0.1204,0.0311,0.53,0.47,15,15
0.7,5.0,3.5,0.2424,0.1455,0.0376,0.9968,0.007,0.0018,0.7543,0.8497,0.0888,0.0229,0.73,0.27,15,15
